Equip-001, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-002, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-003, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-004, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-005, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-006, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-007, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
Equip-008, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8, 9, 3, 7, PT-5, PDT-3, 7, 8
PT-6, 5/16/2011 12:00:00 AM, PT-6, PT-7, PT-7, PT-6, PT-2, PT-6, PT-6, PT-9, PT-6, PT-7, PT-9, PT-4, PT-2, 4, 4, PT-2, PT-9, PT-8, PT-4, 5/16/2011 12:00:00 AM, PT-9, PT-4, PT-3, 5/16/2011 12:00:00 AM, PT-7, PT-7, PT-2, PT-3, PT-9, PT-4, PT-8, PT-7, PT-7, PT-6, PT-3, PT-3, PT-9, PT-9, PT-3, PT-8, PT-2, PT-7, PT-7, PT-4, 8, 7, PT-4, PT-8, PT-5, PT-4, PT-4, 5/16/2011 12:00:00 AM, PT-3, PT-4, PT-7, 3, PT-8, PT-3, PT-5, PT-2, PT-9, PT-5, PT-9, PT-6, PT-4, PT-3, PT-8, PT-2, PT-5, PT-2, PT-8, PT-5, PT-4, PT-8, PT-3, 5/16/2011 12:00:00 AM, PT-7, PT-7, 5/16/2011 12:00:00 AM, PT-3, PT-2, PT-5, PT-9, PT-5, PT-3, PT-7, PT-7, PT-9, PT-6, PT-5, PT-9, PT-5, PT-5, PT-9, PT-6, PT-9, PT-3, PT-4, PT-3, PT-2, PT-5, PT-3, PT-9, PT-6, 5/16/2011 12:00:00 AM, PT-9, PT-8, PT-6, 5/16/2011 12:00:00 AM, PT-8, PT-9, PT-4, PT-3, PT-9, PT-5, PT-6, PT-3, PT-9, PT-2, PT-6, PT-4, PT-3, PT-9, PT-4, PT-6, PT-5, PT-3, PT-9, PT-6, PT-9, PT-9, PT-5, PT-7, PT-8, PT-6, 5/16/2011 12:00:00 AM, PT-7, PT-8, PT-8, 6, PT-4, PT-5, PT-5, PT-3, PT-8, PT-9, PT-4, PT-3, PT-9, PT-9, PT-8, PT-7, PT-6, PT-8, PT-6, PT-2, PT-9, PT-2, PT-3, PT-7, PT-5, PT-5, PT-9, PT-3, PT-7, PT-9, 45, 46, PT-6, PT-6, PT-4, PT-5, PT-7, PT-8, PT-4, PT-5, 8, PT-2
PT-3, 5/16/2011 12:00:00 AM, PT-6, PT-6, PT-8, PT-3, PT-3, PT-7, PT-8, PT-5, PT-9, PT-7, PT-5, PT-7, PT-7, 6, 9, PT-4, PT-7, PT-6, PT-7, 5/16/2011 12:00:00 AM, PT-9, PT-7, PT-2, 5/16/2011 12:00:00 AM, PT-6, PT-2, PT-5, PT-9, PT-9, PT-5, PT-8, PT-4, PT-7, PT-9, PT-2, PT-7, PT-6, PT-8, PT-9, PT-8, PT-6, PT-9, PT-7, PT-9, 5, 7, PT-8, PT-2, PT-7, PT-3, PT-8, 5/16/2011 12:00:00 AM, PT-6, PT-6, PT-5, 2, PT-9, PT-6, PT-6, PT-9, PT-8, PT-8, PT-4, PT-8, PT-4, PT-7, PT-6, PT-9, PT-6, PT-6, PT-2, PT-2, PT-3, PT-4, PT-8, 5/16/2011 12:00:00 AM, PT-9, PT-7, 5/16/2011 12:00:00 AM, PT-4, PT-7, PT-6, PT-9, PT-4, PT-4, PT-3, PT-7, PT-7, PT-4, PT-7, PT-4, PT-8, PT-3, PT-3, PT-2, PT-9, PT-3, PT-2, PT-4, PT-2, PT-4, PT-4, PT-8, PT-7, 5/16/2011 12:00:00 AM, PT-4, PT-5, PT-7, 5/16/2011 12:00:00 AM, PT-3, PT-7, PT-4, PT-7, PT-5, PT-4, PT-7, PT-8, PT-9, PT-2, PT-6, PT-5, PT-3, PT-3, PT-7, PT-4, PT-9, PT-7, PT-7, PT-5, PT-8, PT-9, PT-4, PT-2, PT-8, PT-7, 5/16/2011 12:00:00 AM, PT-7, PT-9, PT-5, 8, PT-3, PT-9, PT-8, PT-5, PT-5, PT-9, PT-2, PT-9, PT-8, PT-6, PT-5, PT-5, PT-3, PT-8, PT-7, PT-6, PT-3, PT-9, PT-7, PT-9, PT-8, PT-9, PT-7, PT-9, PT-9, PT-3, 45, 46, PT-5, PT-3, PT-9, PT-8, PT-7, PT-8, PT-4, PT-2, 8, PT-6
PT-7, 5/16/2011 12:00:00 AM, PT-7, PT-7, PT-7, PT-4, PT-2, PT-9, PT-2, PT-2, PT-5, PT-8, PT-5, PT-5, PT-4, 5, 7, PT-3, PT-6, PT-9, PT-4, 5/16/2011 12:00:00 AM, PT-4, PT-8, PT-6, 5/16/2011 12:00:00 AM, PT-3, PT-5, PT-8, PT-2, PT-9, PT-9, PT-6, PT-2, PT-2, PT-9, PT-3, PT-8, PT-5, PT-3, PT-9, PT-6, PT-8, PT-2, PT-6, PT-9, 6, 5, PT-9, PT-8, PT-6, PT-4, PT-9, 5/16/2011 12:00:00 AM, PT-6, PT-8, PT-2, 6, PT-4, PT-8, PT-3, PT-5, PT-3, PT-5, PT-2, PT-9, PT-3, PT-5, PT-4, PT-7, PT-5, PT-4, PT-5, PT-2, PT-5, PT-3, PT-9, 5/16/2011 12:00:00 AM, PT-3, PT-3, 5/16/2011 12:00:00 AM, PT-7, PT-9, PT-9, PT-8, PT-5, PT-2, PT-5, PT-6, PT-9, PT-9, PT-4, PT-9, PT-5, PT-8, PT-9, PT-4, PT-8, PT-7, PT-2, PT-8, PT-2, PT-5, PT-5, PT-4, PT-7, 5/16/2011 12:00:00 AM, PT-6, PT-6, PT-2, 5/16/2011 12:00:00 AM, PT-4, PT-6, PT-5, PT-8, PT-9, PT-4, PT-7, PT-9, PT-3, PT-7, PT-7, PT-5, PT-6, PT-5, PT-4, PT-5, PT-9, PT-7, PT-2, PT-5, PT-5, PT-7, PT-7, PT-5, PT-8, PT-4, 5/16/2011 12:00:00 AM, PT-3, PT-3, PT-5, 7, PT-2, PT-9, PT-6, PT-4, PT-3, PT-5, PT-6, PT-6, PT-2, PT-2, PT-3, PT-2, PT-2, PT-2, PT-2, PT-7, PT-4, PT-6, PT-3, PT-9, PT-4, PT-2, PT-5, PT-2, PT-6, PT-7, 45, 46, PT-8, PT-9, PT-9, PT-6, PT-3, PT-5, PT-6, PT-5, 7, PT-8
PT-7, 5/16/2011 12:00:00 AM, PT-9, PT-6, PT-6, PT-6, PT-6, PT-3, PT-9, PT-7, PT-2, PT-4, PT-5, PT-5, PT-2, 5, 8, PT-3, PT-9, PT-4, PT-8, 5/16/2011 12:00:00 AM, PT-2, PT-4, PT-3, 5/16/2011 12:00:00 AM, PT-9, PT-6, PT-2, PT-5, PT-2, PT-3, PT-6, PT-8, PT-6, PT-5, PT-3, PT-7, PT-2, PT-2, PT-7, PT-9, PT-7, PT-2, PT-9, PT-6, 2, 7, PT-2, PT-4, PT-4, PT-5, PT-6, 5/16/2011 12:00:00 AM, PT-7, PT-6, PT-5, 2, PT-8, PT-4, PT-7, PT-6, PT-2, PT-6, PT-2, PT-3, PT-7, PT-2, PT-3, PT-7, PT-9, PT-4, PT-4, PT-5, PT-8, PT-6, PT-2, 5/16/2011 12:00:00 AM, PT-6, PT-7, 5/16/2011 12:00:00 AM, PT-2, PT-7, PT-3, PT-4, PT-6, PT-8, PT-2, PT-6, PT-6, PT-9, PT-4, PT-3, PT-4, PT-5, PT-5, PT-4, PT-5, PT-7, PT-5, PT-7, PT-8, PT-3, PT-6, PT-8, PT-9, 5/16/2011 12:00:00 AM, PT-2, PT-2, PT-9, 5/16/2011 12:00:00 AM, PT-2, PT-8, PT-3, PT-5, PT-8, PT-4, PT-7, PT-7, PT-6, PT-4, PT-5, PT-7, PT-9, PT-6, PT-3, PT-2, PT-9, PT-5, PT-7, PT-8, PT-9, PT-2, PT-5, PT-9, PT-6, PT-9, 5/16/2011 12:00:00 AM, PT-8, PT-9, PT-3, 4, PT-4, PT-6, PT-8, PT-3, PT-6, PT-8, PT-8, PT-8, PT-4, PT-2, PT-7, PT-8, PT-7, PT-2, PT-3, PT-7, PT-7, PT-4, PT-2, PT-5, PT-9, PT-6, PT-5, PT-3, PT-2, PT-9, 45, 46, PT-4, PT-4, PT-9, PT-9, PT-5, PT-8, PT-5, PT-4, 9, PT-9
PT-8, 5/18/2011 12:00:00 AM, PT-2, PT-4, PT-9, PT-5, PT-6, PT-7, PT-7, PT-3, PT-7, PT-6, PT-4, PT-9, PT-4, 3, 4, PT-9, PT-6, PT-3, PT-4, 5/18/2011 12:00:00 AM, PT-7, PT-4, PT-2, 5/18/2011 12:00:00 AM, PT-7, PT-4, PT-5, PT-8, PT-4, PT-2, PT-4, PT-7, PT-9, PT-8, PT-9, PT-3, PT-7, PT-2, PT-5, PT-4, PT-9, PT-7, PT-6, PT-8, 8, 5, PT-4, PT-3, PT-5, PT-6, PT-2, 5/18/2011 12:00:00 AM, PT-9, PT-4, PT-3, 2, PT-2, PT-6, PT-2, PT-7, PT-7, PT-2, PT-8, PT-5, PT-6, PT-8, PT-2, PT-7, PT-6, PT-2, PT-2, PT-6, PT-3, PT-6, PT-4, 5/18/2011 12:00:00 AM, PT-3, PT-7, 5/18/2011 12:00:00 AM, PT-2, PT-5, PT-3, PT-4, PT-2, PT-4, PT-4, PT-8, PT-9, PT-5, PT-5, PT-7, PT-8, PT-8, PT-6, PT-6, PT-5, PT-8, PT-4, PT-3, PT-4, PT-2, PT-2, PT-7, PT-8, 5/18/2011 12:00:00 AM, PT-7, PT-3, PT-5, 5/18/2011 12:00:00 AM, PT-2, PT-9, PT-5, PT-9, PT-9, PT-5, PT-9, PT-2, PT-8, PT-4, PT-6, PT-7, PT-5, PT-6, PT-6, PT-5, PT-6, PT-9, PT-8, PT-3, PT-6, PT-9, PT-7, PT-7, PT-2, PT-2, 5/18/2011 12:00:00 AM, PT-4, PT-2, PT-5, 5, PT-6, PT-4, PT-2, PT-9, PT-7, PT-2, PT-9, PT-6, PT-7, PT-4, PT-9, PT-5, PT-8, PT-3, PT-3, PT-6, PT-7, PT-7, PT-5, PT-6, PT-3, PT-8, dfdf, PT-9, PT-2, PT-9, 45, 46, PT-3, PT-3, PT-7, PT-9, PT-9, PT-2, PT-8, PT-7, 4, PT-8
PT-7, 5/18/2011 12:00:00 AM, PT-4, PT-8, PT-9, PT-2, PT-3, PT-3, PT-8, PT-5, PT-5, PT-5, PT-6, PT-8, PT-4, 9, 2, PT-7, PT-5, PT-2, PT-7, 5/18/2011 12:00:00 AM, PT-9, PT-3, PT-8, 5/18/2011 12:00:00 AM, PT-8, PT-8, PT-8, PT-9, PT-9, PT-5, PT-8, PT-2, PT-9, PT-6, PT-3, PT-8, PT-3, PT-9, PT-8, PT-4, PT-4, PT-5, PT-2, PT-4, 3, 6, PT-8, PT-2, PT-9, PT-9, PT-6, 5/18/2011 12:00:00 AM, PT-7, PT-2, PT-6, 5, PT-4, PT-6, PT-5, PT-2, PT-3, PT-3, PT-3, PT-3, PT-4, PT-6, PT-5, PT-6, PT-9, PT-7, PT-6, PT-7, PT-3, PT-9, PT-3, 5/18/2011 12:00:00 AM, PT-7, PT-3, 5/18/2011 12:00:00 AM, PT-8, PT-8, PT-7, PT-3, PT-2, PT-8, PT-2, PT-2, PT-8, PT-3, PT-9, PT-4, PT-2, PT-8, PT-3, PT-8, PT-8, PT-6, PT-2, PT-3, PT-4, PT-7, PT-8, PT-7, PT-2, 5/18/2011 12:00:00 AM, PT-8, PT-5, PT-4, 5/18/2011 12:00:00 AM, PT-4, PT-5, PT-7, PT-9, PT-9, PT-4, PT-5, PT-7, PT-8, PT-9, PT-2, PT-5, PT-3, PT-3, PT-6, PT-5, PT-6, PT-4, PT-9, PT-8, PT-5, PT-9, PT-4, PT-5, PT-2, PT-6, 5/18/2011 12:00:00 AM, PT-8, PT-3, PT-2, 9, PT-3, PT-4, PT-5, PT-7, PT-8, PT-4, PT-5, PT-9, PT-5, PT-8, PT-5, PT-5, PT-2, PT-9, PT-6, PT-7, PT-9, PT-2, PT-3, PT-4, PT-3, PT-7, dfdf, PT-9, PT-6, PT-9, 45, 46, PT-4, PT-3, PT-4, PT-9, PT-4, PT-5, PT-4, PT-7, 8, PT-7
PT-8, 5/18/2011 12:00:00 AM, PT-9, PT-5, PT-5, PT-3, PT-2, PT-6, PT-8, PT-2, PT-4, PT-9, PT-9, PT-4, PT-8, 4, 6, PT-8, PT-9, PT-7, PT-8, 5/18/2011 12:00:00 AM, PT-5, PT-4, PT-8, 5/18/2011 12:00:00 AM, PT-8, PT-5, PT-3, PT-2, PT-2, PT-2, PT-4, PT-3, PT-8, PT-3, PT-3, PT-7, PT-8, PT-6, PT-7, PT-9, PT-4, PT-6, PT-8, PT-8, 3, 2, PT-5, PT-8, PT-6, PT-7, PT-8, 5/18/2011 12:00:00 AM, PT-7, PT-4, PT-9, 9, PT-4, PT-5, PT-3, PT-7, PT-9, PT-9, PT-9, PT-6, PT-8, PT-7, PT-3, PT-2, PT-7, PT-2, PT-2, PT-6, PT-2, PT-2, PT-9, 5/18/2011 12:00:00 AM, PT-5, PT-4, 5/18/2011 12:00:00 AM, PT-6, PT-5, PT-6, PT-8, PT-2, PT-4, PT-6, PT-5, PT-3, PT-7, PT-8, PT-9, PT-4, PT-9, PT-4, PT-6, PT-8, PT-8, PT-9, PT-5, PT-9, PT-2, PT-2, PT-9, PT-9, 5/18/2011 12:00:00 AM, PT-7, PT-8, PT-5, 5/18/2011 12:00:00 AM, PT-2, PT-8, PT-7, PT-4, PT-6, PT-7, PT-7, PT-9, PT-6, PT-9, PT-9, PT-7, PT-5, PT-3, PT-6, PT-2, PT-4, PT-3, PT-5, PT-3, PT-8, PT-9, PT-3, PT-3, PT-9, PT-9, 5/18/2011 12:00:00 AM, PT-4, PT-6, PT-5, 6, PT-8, PT-4, PT-6, PT-2, PT-4, PT-5, PT-2, PT-6, PT-4, PT-7, PT-3, PT-4, PT-2, PT-9, PT-8, PT-4, PT-2, PT-8, PT-5, PT-2, PT-7, PT-8, dfdf, PT-4, PT-7, PT-6, 45, 46, PT-3, PT-6, PT-5, PT-4, PT-6, PT-4, PT-3, PT-6, 9, PT-2
